"_id","joke","cat","nid"
"YUBrme1GcOq","Дете разглежда семейния албум: - Мамо, а кой е този тук с теб на плажа - един красив, мускулест и загорял пич? - Това е татко ти! - Тогава кой е този дебел, плешив чичо дето живее с нас?!","Деца",17101
"Yu9x9p36UJQ","При психолога: - Докторе, IQ-то ми е 85, на жената е 155, на дъщерята 145, чувствам се непълноценен. Какво да правя? - Трябва повече да четете. - А какво по-точно? - Семейния кодекс, раздел ""Развод и издръжка"".","Дъщери",15789
"yu2nFjxBdr","Кой как избира сладолед: 1. Мъжа: - Имате ли сладолед? - Да. - Дайте ми един. 2. Жена: - Имате ли сладолед на клечка с ягодов пълнеж, шоколадова глазура с кокосови стърготини? - Не! - Дайте един! 3. Дете: - Имате ли сладолед за 50 стотинки?","Деца",17124
"YS-O8QCdoGV","Питат радио Ереван: - Защо управляващите връщат десетки хиляди бонуси? - Защото само от по-скъпите лекарства са изтекли милиони..","Радио ереван",39834
"yRwvRi8Hkv","- Защо котките пикаят в чехлите? - Хлебарките ги молят да го правят, защото ненавиждат тези обувки-убийци.","Животни",19376
"yQM3-QgLwje","Доктор влиза в стаята, където лежи млада и хубава жена. - Добър ден, съблечете се - трябва да ви прегледам... - Но мен вече ме прегледа ваш колега и каза, че съм много добре! - Да, да, и на мен ми ми каза същото.","Доктори",14431
"yPwmMSH9u7s","Сутрешна блъсканица във автобуса. Жена се оплаква: - Моля ви, господине, не ми се натискайте така! - На кого да се натискам? - Не знам, все ми е тая! - И на мен!","Жени",19689
"YPUGMa7avBX","Нощ. Чука се на вратата. Тревожен женски глас: - Кой е? - Поручик Ржевски, мадам! - Пак ли ще говорите мръсотии и ще ми се натискате? - Разбира се! - Почакайте, търся ключа...","Герои",17194
"YpCi4HNm9SJ","Едно борче влиза в заведение. На бара забелязва две готини мацки. Чудил се той как да ги заговори. След не много мислене се доближава до тях, вади пистолета си и гръмва едната. Докато тя се свлича на пода, той се обръща към другата: - Леле, такова готино гадже, а седи самотно на бара.","Борци",37815
"yNc6fUP2lBn","Най-страшните женски реплики по време на мач: 1. Кои са наште? 2. Дай само за секунда да погледна какво дават по другия канал. 3. А, Турция ли играе… Мило, кога ще ме заведеш в Турция? 4. Тоя с флагчето играе най-слабо. Топката минава до него, а той не я рита. 5. Ужас! Края на ноември, а те с къси ръкави и шорти. 6. Тоя защо свири? Съдия ли е? А за какво ги съди? Ще вкара ли някой в затвора? 7. Какви са тия фигурки, които са нарисувани по тревата? 8. А, Бекъм ли е на терена? А къде е жена му? 9. Тоя на вратата защо е с ръкавици в тая жега? 10. Тоя идиот докога ще свири? Да свирне веднъж и да си ходи, всички вече го чуха. Нали, мило? 11. Защо го гледаш тва първенство, като не играят наште?","Жени",29364
"ym8458J3Yd","В една адвокатска кантора се провежда следният разговор: Клиентът: - Извинете, може ли да ви попитам колко ще струва, ако ви задам един въпрос? - 100 долара. А какъв е втория ви въпрос?","Адвокати",36172
"YLIvGEXemt","Самолетът стои на пистата и се подготвя за излитане. Пристига екипажът и какво да видят ужасените пътници - и двамата пилоти са слепи и се придвижват с помощта на бастунчета. Докато някой да успее да каже нещо, вратата се затваря и самолетът се засилва по пистата. Вече се движи с главоломна скорост, когато пътниците виждат, че пистата свършва и ще се забият в оградата. - А-а-а-а-а-а! - чуват се ужасени писъци. Главният пилот дръпва лоста към себе си, самолетът се издига и политат. Вторият пилот казва: - Ей, да знаеш майна, някой ден пътниците няма да запищят и така и ще се претрепем в тая ограда.","Разни",41374
"ykTO4bEvvb7","Момче се запознава с момиче: - А каква зодия си? - Аз съм Риба. - Е, ако ти си Риба, то тогава аз съм Бира.","Бира",12335
"YkRQTtjRTn","Щяли да разстрелват брюнетка, блондинка и червенокоса.  Първо взели брюнетката, но тъкмо когато щели да я гръмнат, тя извикала:  - Внимание, има наводнение!  Всички избягали и тя се спасила. Взели червенокосата и тя извикала:  - Внимание, изригва вулкан! - и тя се спасила.  Дошъл ред на блондинката. За да се спаси тя извикала:  - Внимание, огън! - те я разстреляли.","Брюнетки",12809
"yKbxjwaWHSv","Началник към секретарката си: - Това, че пишете любовни писма в работно време някак си мога да го разбера, но защо ми ги давате да ги подписвам?","Професии",42138
"YKAVRXmfUNJ","Една жена отишла на доктор: - Докторе, като видя мъж почвам да хълцам. - Влез в онзи килер ей там. - рекъл докторът. След малко дошъл един мъж: - Докторе, когато видя жена почвам да пърдя. - Влез в онзи килер ей там. - рекъл докторът. След малко пристига една жена: - Докторе, като видя мъж почвам да псувам. - Влез в онзи килер ей там. - рекъл докторът. След нея дошъл един мъж: - Докторе, като видя жена почвам да пея. - Влез в онзи килер ей там. - заръчал докторът. Заключил ги в килера и след малко през вратата се чуло: - Хлъц, пръц, тралала, да ти е*а майката…","Жени",26183
"yIeKJraCGH6","През нощта се звъни на вратата: - Кой е? - Отворете, полиция. - Няма никой вкъщи. - А кой говори? - Счуло ви се е. - А защо е светнато? - Сега ще загася.","Полицаи",39564
"yidUHSEojXB","Седи си един мъж пред компютъра и си играе. Идва жена му: - Дай и аз да поиграя. - Имай съвест, скъпа, взимай пример от мен. Аз поне един път да съм ти искал парцала, когато миеш пода?","Жени",19746
"YGSxfH4gXt","Махмурлия, събуждайки се сутринта, застава пред огледалото, щрака с пръсти и се чуди! Жена му, минавайки покрай него го пита: - Пешо, какво правиш? - Аааа, вярно бе, Пешо беше!","Жени",29831
"YFqr67W6mX","- Този автомобил Ваш ли е?   - Частично е мой.   - Как така?!   - Ами как, по документи е на жена ми, кара го синът ми, понякога за уикенда го взима дъщеря ми, когато трябва да се ремонтира е мой.","Жени",22268
"YF6mwkXuyJa","Направили в гората яма-капан. Вървял си таралежа и без да иска паднал в нея. Паднал, ударил се и загубил съзнание. Същият ден до обяд паднали лисицата и вълка, а надвечер тъкмо паднала и баба Меца в безсъзнание, се събудил Ежко-Бежко, огледал се, почесал се по главата и си рекъл:   - Бре, какви ги върша докато съм в безсъзнание!","Разни",13063
"YezDHRUGLfF","Две колежки обсъждат нов колега. - А какъв е строен, какви очи има само! - А и как се облича! - Да, и толкова бързо!","Свалки",41421
"YepEH12qwEE","- Ще се развеждам с жената. Вече пет месеца не говори с мен. - В ред ли си? Къде ще намериш такава жена, бе?","Жени",19524
"yDXucyVomdz","- Мила, моля те, целуни ме! - Но аз не съм целувала нито един мъж досега! - Няма значение, аз също.","Свалки",41420
"ycR-0K-CNR","Иванчо тича при татко си: - Тате, моля те, затвори си очите. - Защо? - Мама каза, че когато ти затвориш очи, ние ще започнем да живеем много по-добре!","Иванчо",37592
"YC4RYNnrh9","Учителката:  - Жоро, вчера защо не беше на училище?  - Майка ми роди, госпожо, вече си имам братче!  - Но как така, нали баща ти от две години е на работа в чужбина?  - Да, госпожо, но те си пишат!  - Егати дългата химикалка! - обажда се Иванчо.","Иванчо",35684
"yByg7CXH1sI","Жена вика на мъжа си: - Пешо, печката се развали,оправи я! - Да ти приличам на електротехник. На другия ден: - Пешо, мивката тече оправи я! - Да ти прили4ам на водопроводчик. На следващия ден пешо се прибира в къщи,печката и мивката поправени и пита жена си: - Кой оправи печката и мивката? - Ми комшията... - И какво искаше в замяна? - Да му изпея песен или да му направя свирка. - И ти коя песен му изпя? - Да ти приличам на певица","Разни",14833
"YAyYdjbZM3","Новини от изборите в Украйна: ""Планът даже е преизпълнен!!! ЦИК обработи 110 процента от бюлетините предсрочно!!""","Разни",40572
"YAybuaHhyQW","Директор инструктира друг директор по телефона как да смени цветовата настройка на монитора: - Сега натисни ""ОК""! - Натиснах го. А! Иска да рестартира. Да се съглася ли? - Не веднага! Иначе какъв авторитет ще имаш...","Телефони",39361
"Y98-BMNQT0M","На преглед при доктора е хубаво момиче. Доктора й казва да се съблече. Тя се съблича и се опитва да се прикрие с ръце колко може. А докторът казва: - Не се притеснявайте, аз съм профисионалист, съвсем не ме вълнува вашето хубаво, сладко телце.","Доктори",16230
"y8sFG3H1Hb","Иванчо спира кола: - Чичо, закарай ме до училището. - Но аз съм в другата посока. - Още по-добре.","Иванчо",35730
"y7KGvhq1RTk","- Ало! Ясновидката Магда ли е? - Да, Генко Бончев. - Но аз не съм Генко Бончев. - Знам.","Генко",15560
"y7JQCKO39Cu","На сутринта мъж и жена се събуждат и жената казва: - Мъжо, сънувах много хубав сън. Бях на изложба на мъжки полови органи. Ама те едни големи, едни здрави, едни дебели - направо супер! Мъжът пита: - А моят там ли беше? - А!? какво ще прави твоя там, бе? На другата сутрин се събуждат и мъжът казва: - Жена, и аз сънувах, че съм на изложба, но на женски полови органи. Ама едни тесни, едни розови, едни пухкави - направо супер! Жената пита: - А мойта там ли беше? - Ама разбира се. То от там се влизаше!","Жени",20242
"y71l7_abxK","- Здравей, Генко! Как е? - Като Америка. - Какво, всичко е ок, вери гуд? - Не, бе. Дългове бол, а кога ще ги върна идея си нямам.","Генко",15651
"Y4iLTCWuxJf","Закъсала кокошката за пари и решила да практикува най-древната професия. Наконтила се и тръгнала по горската пътека. Среща Мецан: - Мецане, за пет лева съм твоя!  Мецан бил два месеца на мед и пчели и се съгласил. Оправил я, след което кокошката продължила. Срещнала вълка, който също я оправил. Навътре в гората тя срещнала заека. След малко Мецан и вълкът чули крясъците на кокошката. Отишли и що да видят - заекът скубе перата на кокошката едно по едно. - Какво правиш бе, Зайо? - попитали те. - Платил съм пет лева за нея! Искам я гола!","Животни",19393
"y4DUyuCrdP","- Роди ми се син! Накрая след четири дъщери! - Поздравления! На кого прилича? - Не знам, в лицето още не сме го гледали.","Дъщери",15793
"y3C9D0EeUdm","В ""Бърза помощ"" докарват мъж със счупен крак. Докторът пита: - Как се случи? - По време на игра. - Футбол ли сте играли? - Не, карти. - ??? - Моя приятел ми даваше знаци под масата.","Бърза помощ",13848
"Y39EM1B_hA","Две деца стоели в чакалнята в поликлиниката. Едно от тях плачело много силно. - Защо плачеш? - Взеха ми кръв преди малко. - Страх ли те беше? - Не. За да ми вземат кръв ме убодаха с една остра игла по пръста. Второто дете се разплакало. Първото се учудило. - А ти защо плачеш? - На мен ще ми взимат урина!","Деца",17139
"y1IZvJ5MHnv","Доктор пита пациент: - Паметта ви подобри ли се? - Разбира се, че се подобри! А вие, впрочем защо питате?","Доктори",14530
"y-MJIrh9h1","Млад татко чака в коридора на родилното. От вътре излиза акушерка и носи три бебета.  Таткото се замисля и казва:  - Ами... ще взема това отляво.","Родители",25221
"XZEMDwwzO0O","Ако не бяха критиките за: 1. борбата с корупцията по високите етажи на властта 2. по-нататъшната реформа в съдебната система 3. постигане на резултати от разследвания срещу организираната престъпност. 4. да се внедри добра система за контрол в земеделието 5. да се изгради необходимата база за събиране на битови отпадъци и обработване на субпродукти за предпазване от болести по животните. 6. финансовия контрол по използването на структурните фондове и кохезионния фонд на ЕС. и ако Румъния не беше ни изпреварила и аз щях да съм оптимист, като управляващите ни...","Животни",17325
